"","S22_140","Seladonia_confusa_122","Sphaerophoria_scripta_123","Sphaerophoria_scripta_124","Sphaerophoria_scripta_125","Sphaerophoria_scripta_126","Sphaerophoria_scripta_127","Sphaerophoria_scripta_128","Sphaerophoria_scripta_129","Sphaerophoria_scripta_130","Sphaerophoria_scripta_131","Sphaerophoria_scripta_132","Sphaerophoria_scripta_133","Sphaerophoria_scripta_134","Sphaerophoria_scripta_135","Sphaerophoria_scripta_136","Sphaerophoria_scripta_137","Sphaerophoria_scripta_139","Sphaerophoria_scripta_141","Sphaerophoria_scripta_142","Sphaerophoria_scripta_143","Sphaerophoria_scripta_322"
"10-5 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"13-20 Potentilla_erecta",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-7 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"14-20 Potentilla_erecta",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-21 Potentilla_erecta",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-4 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"14-7 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"18-22 Potentilla_erecta",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-0 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"20-0 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"20-8 Potentilla_erecta",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-4 Potentilla_erecta",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-8 Potentilla_erecta",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-9 Potentilla_erecta",0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0
"22-10 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"22-11 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"22-12 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"22-4 Potentilla_erecta",0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22-8 Potentilla_erecta",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"22-9 Potentilla_erecta",0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
"5-20 Potentilla_erecta",0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6-19 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"7-19 Potentilla_erecta",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-20 Potentilla_erecta",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-20 Potentilla_erecta",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-7 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"9-0 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"9-1 Potentilla_erecta",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"9-7 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
